text,evaluacion_1,evaluacion_2,evaluacion_3,evaluacion_4,tipo_origen,fuente
"- ¿Cuál es la última letra del abecedario?
- La “O”.
- ¿No es la “Z”?
- ¡No hombre! Si no sería abecedarioz.",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"- Señora, disculpe pero su vuelo viene demorado.
- ¡Ay, que emoción, es mi color favorito!",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"– ¿Cómo se declara el acusado?
– Con flores y arrodillado, la verdad juez, soy un hombre bastante tradicional…",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"Se encuentran dos amigos:
– ¿Sabes? Hoy me he comprado una paloma que cuesta diez mil euros.
– ¿Mensajera?
– No no, no te exagero",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"- ¿Que le dice un chinche a otro chinche?
- Te voy a ser chinchero, yo te quiero",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"- ¿Qué le dice una morsa a otra morsa?
- ¿Almorsamos o qué?",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"- Estoy leyendo un libro nuevo que se llama ""La honestidad y otros valores"" 
- Que bueno, ¿dónde lo compraste? 
- Lo robé de la librería de la esquina",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"- Mamá, soy fea? 
- No hija, tienes lo que todo hombre desearía para si. 
- En serio? 
- Si, tienes voz gruesa, espalda ancha y pelos en el pecho.",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
Todo era risas hasta que nos dimos cuenta que el tartamudo quería JAMÓN,,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"Un hombre entra en una panadería…
-¿Tiene usted pan de ayer?
-Sí
-Pues no haber hecho tanto, tonto.
…Y se va",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"Una pera esperando el autobús. Llega una manzana y le pregunta:
- ¿Hace mucho que espera?
- Toda la vida.",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"- Papá, papá ¿vendrás a mi graduación?
- No, hijo. Cuando llegues a casa ya me enseñarás tus gafas nuevas.",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"Entra un borracho en una comisaría: 
- ¿Podría ver al hombre que robó ayer en mi casa? 
- ¿Y para qué lo quiere ver? 
- Para saber cómo entró sin despertar a mi mujer.",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"- Que significa WHY en inglés?
- Por qué.
- Por saberlo",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"- No sé si conseguiré enamorar a esa chica...
- ¿Tienes vacas y ovejas?
- Sí.
- Pues ya tienes mucho ganado.",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"- Papá, que significa sintaxis
- Que tienes que coger el autobús
- Gracias papá, eres genial
- Uno que ha estudiao",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"Una cita por Tinder, todo son nervios:
- Hola, soy Antonio
- Hola... soy Sara... Vaya, si eres vizco
- No, lo que pasa es que tengo un ojo tan bonito que el otro se lo queda mirando",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"-¿A qué te dedicas?
- Básicamente a respirar. No gano mucho, pero me da para vivir.",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"A fin de relajarse tras su ardua labor de predicar y obrar milagros, Jesús decide tomarse un descanso a orillas del mar de Galilea. 
Durante una partida de golf con uno de los apóstoles, se encuentra con que ha de llevar a cabo un golpe complicado; Jesús lo hace mal y la pelota termina en el agua. Así que recurre a su truco habitual: camina sobre las aguas hasta donde está la pelota, se agacha y la recoge. Cuando Jesús intenta repetir el golpe, el apóstol le dice que es muy difícil: 
- Sólo alguien como Tiger Woods puede conseguirlo; 
Jesús le contesta 
- Soy el hijo de Dios, puedo hacer cualquier cosa que haga Tiger Woods!
y repite el golpe. La pelota acaba de nuevo en el agua, de manera que Jesús vuelve a caminar sobre su superficie para recuperarla. En ese momento, pasa por allí un grupo de turistas americanos, y uno de ellos, al observar lo que ocurre, se vuelve hacia el apóstol y le dice: 
- Dios mío, ¿quién es ese tipo? ¿Es que se cree Jesús o qué?
A lo que el apóstol le contesta: 
- No, se cree Tiger Woods!",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"Jaimito ¿cómo te ha salido el examen de Matemáticas?
- Pues más o menos como a los del Polo Norte
- ¿Cómo a los del Polo Norte? ¿Qué quieres decir?
- De cero para bajo mamá, de cero para bajo!",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"En una discoteca, un chico pregunta a una chica:
- ¿Bailamos?
- Claro. ¿Pero quién saca a mi amiga?
- Ahhh, por eso no te preocupes. ¡SEGURIDAAAAD!",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"Había una vez un rey que quería ir a pescar. Llamó al meteorólogo real y preguntó por el pronóstico del tiempo para las próximas horas. El meteorólogo le aseguró que no había ninguna posibilidad de lluvia en los próximos días.

Así que el rey fue a pescar con su esposa, la reina. En el camino se encontró con un granjero que iba en su burro. Al ver al rey, el granjero le dijo: 
- Su Majestad, debe regresar al palacio de inmediato porque en poco tiempo una gran cantidad de lluvia caerá en esta zona.

El rey hizo caso omiso confiando en su pronosticador profesional del tiempo. Así que siguió su camino.

Poco tiempo después una lluvia torrencial cayó del cielo. El rey y la reina quedaron totalmente empapados y su séquito se rió al verlos en ese estado tan vergonzoso.

Furioso, el rey regresó al palacio y dio la orden de despedir al profesional. Entonces convocó al granjero y le ofreció el prestigioso y muy bien pagado trabajo de pronosticador real.

Pero el granjero le contestó: 
- Su Majestad, no sé nada de previsiones, obtengo mi información de mi asno, si veo las orejas de mi asno caer, significa con certeza que lloverá.

Así que el rey contrató al burro. Y así comenzó la práctica de contratar burros para trabajar en el gobierno y ocupar las posiciones más altas e influyentes.",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"- Camarero, ponga una de calamares a la rumana, por favor.
- Será a la romana.
- Irina, cariño, dile al camarero este de dónde eres...",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"Entra un ciego en un bar y le dice a la camarera de la barra.
- Quieres oír un chiste de rubias?
La camarera responde.
- Soy rubia, y el surfero que está a tu lado también, y los 3 militares que tienes detrás también, en la mesa del fondo hay un pareja de rubias y esos moteros que están fuera 2 son rubios también. Estás seguro de que quieres contar el chiste?
- Naaah paso, que lo tendría que explicar 9 veces.",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"- Johnson de homicidios, ¿quién es?
- Agente Aguirre.
- ¿Qué ha pasado?
- Asesinato de un varón de 38 años. Su madre le ha dado 6 puñaladas por pisar lo fregao.
- Han detenido a la madre?
- No, todavía está mojado",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"Esto es un capitán y un marinero.
- Capitán, ¿puedo desembarcar por la izquierda por favor?
-Se dice por babor.
- ¿Puedo desembarcar por la izquierda por babor?",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"- ¿Qué hace un boli Bic en el aire?
.... AeroBic.",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"- Caballero, ¿vino con el filete?
- No, he venido yo solo.",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"- ¿En qué se parecen los árboles de navidad y las piernas de tu suegra?
- En que los dos tienen el “cableado por fuera”",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"Una bombilla en una fiesta le dice a otra:
- Tia! Te noto como apagada.
Y su amiga le contesta:
- No, es que estoy fundida.",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"- Y para terminar la entrevista..., dígame cuáles son sus hobbies preferidos.
- Bilbo, Frodo y Samsagaz.",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"- Ha cometido usted un crimen matemático.
- Pues, lo asumo.
- Pues, lo arresto.",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"- Ahí va Patxi, como cortas troncos! Donde has aprendido?
- Pues en el Sahara!
- Pero si allí no hay arboles!
- No, ahora ya no...",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"- ¿Tienes wi-fi?
- Sí
- ¿Y cuál es la clave?
- Tener dinero, llamar a una operadora y contratarlo, no tiene más...",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"- ¿Por qué los patos no tienen amigos?
- Porque son muy antipáticos",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"En la pescadería, comprando para la cena de navidad: 
- Muy buenas, hay gambas?
- Muy buenas.
- Muy buenas, hay gambas? 
- Muy buenas
- ....",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"- ¿Sabes a qué actor le dan siempre el pésame?
- A Johnny DEP",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"Esto es un hombre mayor que va a su médico, pero va acompañado de dos preciosas mujeres morenas, de cuerpos voluptuosos y sonrisas radiantes. El doctor, sorprendido le pregunta: 
- Pero Ramiro ¡¿Cómo está usted?!
- Bien, doctor, he seguido sus indicaciones y mano de santo oiga!
- Le dije que necesitaba dos muletas ¡no dos mulatas!",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"Después de medio siglo de matrimonio, él se muere, y al poco tiempo después, ella también y se va al cielo.
En el cielo, ella encuentra al marido y corre hasta donde él y le dice:
- ¡Amor mio! ¡Que bueno encontrarte!
Y él responde:
- ¡No me vengas con esas! El contrato fue clarito: ¡Hasta que la muerte nos separe!",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"Dos cazadores se encuentran persiguiendo a una presa por el bosque cuando uno de ellos cae al suelo. El hombre parece haberse quedado sin aliento y tiene los ojos vidriosos. Su compañero agarra el teléfono, llama al número de emergencias y dice jadeando:
- ¡Mi amigo está muerto! ¿Qué puedo hacer?
La operadora le dice:
- Tranquilícese, puedo ayudarlo. Primero asegurémonos de que efectivamente está muerto.
Se crea un silencio y a continuación se escucha un disparo. Al volver al teléfono, el amigo dice:
- De acuerdo, y ahora ¿qué?",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"- ¿Cuál es el animal más antiguo? 
- La vaca
- ¿Por qué? 
- Porqué esta en blanco y negro.",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"-Papa, ¿por qué te casaste con mama?
- Tu tampoco te lo explicas, ¿verdad hijo?",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"Tía Rosario, ¿de donde vienes?
- Del salón de belleza.
- Estaba cerrado, ¿verdad?",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"Aun no había comenzado la misa. Algunos conversaban bajito, otros rezaban. De repente se aparece el Diablo frente a la congregación.
Todos salen disparados en estado de pánico. Todos... menos un viejecito que ni se movió. El Diablo le clavo una mirada fulminante y le dijo:
- ¿Y tu? ¿No me tienes miedo?
- ¡Que va! ¡Estuve casado con tu hermana cuarenta años!",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"Llega Tomás a un hotel y pide habitación.
El encargado le dice que sólo tiene una cama en un cuarto compartido, la cual nadie quiere porque el otro huésped ronca muy fuerte.
Tomás le responde que no hay problema y decide compartir la habitación.
A la mañana siguiente el encargado le pregunta si durmió bien.
- Perfectamente -responde Tomás.- ¡Muchas gracias!
- ¿Y el señor de los ronquidos?
- Mire, apenas entré en la habitación, le di un beso en la mejilla y una palmadita en la nalga. ¡¡¡Y se pasó toda la noche con los ojos abiertos y con el culo pegado a la pared!!!",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"Los feligreses en la iglesia y el padre comienza a hablar: 
- Hermanos hoy vamos a hablar de las mentiras. ¿cuantos de ustedes recuerdan que dice el capitulo 32 de San Lucas? 
- Y todos levantaron las manos.
- Precisamente a eso me refería, el evangelio de San Lucas solo tiene 24 capítulos.",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"- María, tú me estás engañando con el filósofo del pueblo.
- Eso no son más que falacias Pedro, simples falacias.",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"- Disculpe ¿me puede decir la contraseña del Wifi de su Bar?
- Tómate una caña por lo menos, hombre!
- Aja... ¿Todo junto?",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"- Mi mujer me dijo que ya no podía más, qie necesitaba más espacio.
- ¿Y qué hiciste?
- La regalé un disco duro de 2Tb.",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"- ¿Este vino, de dónde es?
- De Islandia, creo.
- ¿No pone la ciudad en el envase?
- Tetravrik.",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"Dos leperos van al médico y ven un cartel: “CONSULTA DE 4 A 7”. Así que uno de ellos le dice al otro:
-Oye, que solo somos dos, vamos a buscar otra pareja de enfermos.",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"Estaba un catalán en su casa y le da un ataque cardíaco, avisan a la ambulancia, lo montan en la camilla, lo suben en la ambulancia y de camino el médico le dice a su ayudante:
-¡Rápido, póngale la mascarilla!
Y el catalán:
-¡No, por favor, póngame la más baratilla!",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"Se abre el telón y se ve un tetrabrik de Don Simón.
¿Cómo se llama la película?
-”Es tinto básico”.",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"Dos vascos:
-Oye, Patxi, ¿en el cielo habrá frontón?
-Pues yo creo que sí, Iñaki, porque, si allí todo es perfecto, pues habrá frontón.
-Oye, pues el primero que se muera que se lo diga al otro.
-De acuerdo.
Al cabo de unos años, Patxi se muere y, al día siguiente, Iñaki oye una voz de ultratumba:
-Iñaaaaaki, Iñaaaaki, Iñaaaaaki, soy Patxi.
-¿Qué quieres?
-Que te tengo que dar dos noticias, una buena y otra mala.
-¿La buena?
-Que yo tenía razón, que aquí hay un frontón fantástico, de más de 60 metros de fondo y unas instalaciones alucinantes.
-¿Y la noticia mala?
-Que juegas mañana a las 11:00",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"Esto es un hombre que entra a un restaurante y le pide a un camarero el menú del día. El camarero le entrega la hoja, en donde se puede ver que es un menú algo caro (45€). Al leer aquello, le pregunta al camarero:
-¿Oiga, pero aquí no hacen descuento a los colegas?
- ¿Ah! Pero usted también es camarero?
-No, soy un ladrón.",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"- Mi novia me ha dejado una nota en la mesa que ponía:
""Me voy, no hay química""
- No la entiendo, ¿si le han anulado la clase para qué va?",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"Dos mujeres, una le dice a la otra:
- Mi marido es marinero y se pasa 11 meses en el mar y uno en casa.
- Vaya... ¿Se te debe hacer eterno?
- No te creas porqué se pasa medio mes en casa de su madre.",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"Un marinero de un barco que se hunde grita desesperadamente:
- ¿Hay alguien a bordo que sepa rezar con devoción?
- Sí, yo, responde un pasajero.
A lo que el marinero responde:
- ¡Perfecto, porque nos falta un chaleco salvavidas!",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"En Bilbao, al salir de un examen de Análisis Matemático:
- Oye Patxi, ¿qué te ha dado el segundo límite, pues?.
- Más infinito
- ¿Sólo?",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"Estan 2 cadaveres en el cementerio y uno empieza a reírse y dice:
-Jajajajaaja, me vivo de la risa!",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"Había un campo tan verde, tan verde verde, que las ovejas menores de dieciocho años no podían entrar.",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"- Amor mío, creo que podríamos tener otro hijo.
- Me parece bien, a mi tampoco me gusta el que tenemos ahora...",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"- ¡Cariño, estás obsesionado con el fútbol y me haces falta!
- Queeeeeé??? Faltaaa? Falta? si ni siquiera te he tocado, vamos.... como puedes decir falta...",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"Un hombre va caminando por la calle, ve una tienda de ropa, entra y comienza a pelearse con el maniquí.
- Oiga, que hace pegando a este maniquí
- ¡Es que no soporto a las personas falsas!",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"- Ya no me escuchas cuando te hablo Antonio
- Lo que quieras cariño, una tortilla o lo que te venga bien, tampoco tengo mucha hambre.",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"- Papá, ¿qué significa patriota?
- ¿Has visto todos esos catalanes que piden la independencia?
- Sí
- Po tráeme una birra. Y pa-ti-otra",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"- Nos gusta mucho su currículum, señor Juan, pero no especifica su teléfono.
- No.
- ¿Y cómo le llamamos?
 - Juan.",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"- Una pregunta, ¿los vagos vamos al infierno? ¿O vienen a recogernos?",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"Un ladrón entra a un banco, apunta con su arma al cajero y exige que le de todo el dinero.
Una vez con el botín, se da la vuelta hacia uno de los clientes y le pregunta:
- ¿Usted me vio robar?
- Si, pero de refilón
El ladrón le pega un tiro en la cabeza.
Se dirije a otra persona que había al lado:
- ¿Y usted,me vio robar?
- No, la verdad es que apenas vi nada...
El ladrón le pega dos tiros en la cabeza.
Se da vuelta hacia una familia que estaba parada a su lado y pregunta:
- ¿Y usted, me vio robar?
El hombre le contesta:
- Yo no vi nada... pero mi suegra si, la vi grabándote con el móvil.",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"- ¿Que le dice un bosque argentino a otro?
- ¿Y vos qué?",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"Una rata que se echa un murciélago de novio y otra rata amiga suya le dice:
- Oye vaya novio feo te has echado no?
- Si, pero es piloto",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"- Doctor, todo el mundo cree que soy un mentiroso
- Sinceramente, eso no puede ser...",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"Una vecina a otra:
- Uo! Es increíble el parecido que tiene tu hijo con su padre!
- Sí, ya... pero habla más bajo que mi marido está en casa!!",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"En la Farmacia:
- ¿Tienen pastillas para el cansancio?
- Están agotadas",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"En la escena del crimen:
- Hola! John, soy de narcóticos.
- Javier, yo soy más de cubatas de toda la vida.",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"- Papá, tengo una buena y una mala noticia...
- Empieza por la buena, dame una alegría anda...
- ¡Los airbags de tu coche funcionan muy bien!",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"- ¿En qué trabajas?
- Soy director general de una empresa de importación y exportación.
- Qué puesto más importante
- ¡Y exportante!",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"- ¿Cómo se despiden los químicos?
- Ácido un placer",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"Si un gallego te guiña un ojo, ¿es un galleguiño?",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"Dos pueblerinos hablando:
- Tengo un problema, y es que a mi vaca no le gustan los toros.
- ¿Has probado a llevarla al fútbol?",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"Un hombre le pregunta al dueño del hotel:
- No lo entiendo ¿por qué en verano cobras menos por noche que en invierno?
- Claro es muy sencillo, ¿no ves que en el verano las noches son más cortas?",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"- Camarero, una ración de setas!
- Serán 15€, por favor.
- Pero... ¿me las va a cobrar antes de comerlas?
- Es que con las setas... nunca se sabe!",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"Una pareja de novios recién casados comentan:
- Oye, una pregunta amada mía, que se me acaba de ocurrir sin motivo... 
- Dime mi amor
- Si algún yo me muriera ¿Llorarías?
- Pues claro!. No ves que yo lloro por cualquier tontada...",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"Inscripción en la lápida de un hipocondríaco: 
""Ya te decía yo que algo me pasaba""",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"En clase dos niños:
- Mi bolígrafo escribe en diez colores.
- Bah! Eso no es nada! El mío los escribe todos!
- Anda ya, pero si el tuyo sólo tiene tinta azul..
-Ya, pero es capaz de escribirlos todos te lo voy a demostrar
..Y escribe en una libreta : rojo, rosa, verde, amarillo, violeta, azul, granate, negro...",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"Un hombre al lado de un río que quiere atravesar, le pregunta a otro hombre que estaba al otro lado del río:
- ¿Es muy profundo este río? ¿Se puede pasar sin que me cubra?
- Sí, claro que sí, sin problema. Es un río muy seguro y tranquilo.
En esto que el hombre se mete todo dispuesto en el río, y de repente se le empieza a llevar la corriente río abajo. Cruza como puede nadando a la desesperada y sale del río, se dirige enfadadísimo hacia el hombre:
- Pero tú, desgraciado!! Cómo me dijiste que el agua no cubría y que se podía cruzar sin ningún problema el río!!??
- Ah... pues... hace unos minutos lo cruzó un patito y el agua no le cubría nada!",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"- ¿Por qué nunca llueve en URUGUAY?
- Porque está debajo de PARAGUAY.",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"- Camarero, hay una mosca en la sopa!
- Tranquilo, que la araña que hay en el pan se la comerá pronto...",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"En un restaurante:
– Camarero, camarero, ¿tiene usted ancas de rana?
– Sí, señor.
– Bueno, pues brinque hasta la cocina y tráigame mi filete, por favor.",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"En la recepción de un hotel:
- ¿Nombre?
– Bond, James Bond.
– Bien, Bond James Bond
– No. James y Bond a parte
– ¿James Bonaparte?
– James Bond, y ya
– ¿James Bonilla?
– Apunte 007…
- ... Lo siento... esa habitación no está disponible
- ...",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"- ¿Cómo se dice pelo sucio en chino?
Chin cham pu.",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"- Papa, Papa! Ayer salí con mi nuevo novio mecánico y me dijo algo que no entiendo. Me dijo que tengo un lindo chasis y dos bellos amortiguadores, aparte de dos fabulosos paragolpes.
El padre le contesta:
- Dile a tu novio, que si abre el capo y mide el aceite del motor,le rompo el tubo de escape!",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
